creationdateuserloan;Closing price
2017-08-22;1,543.76
2017-08-21;1,524.25
2017-08-18;1,532.12
2017-08-17;1,540.09
2017-08-16;1,552.16
2017-08-15;1,543.37
2017-08-14;1,554.58
2017-08-11;1,538.96
2017-08-10;1,554.75
2017-08-09;1,571.20
2017-08-08;1,581.32
2017-08-07;1,575.47
2017-08-04;1,573.47
2017-08-03;1,559.66
2017-08-02;1,563.20
2017-08-01;1,566.31
2017-07-31;1,548.19
2017-07-28;1,557.56
2017-07-27;1,570.48
2017-07-26;1,580.22
2017-07-25;1,568.91
2017-07-24;1,566.88
2017-07-21;1,581.37
2017-07-20;1,597.84
2017-07-19;1,609.96
2017-07-18;1,607.36
2017-07-17;1,639.33
2017-07-14;1,646.83
2017-07-13;1,642.49
2017-07-12;1,650.59
2017-07-11;1,621.57
2017-07-10;1,624.81
2017-07-07;1,617.00
2017-07-06;1,620.99
2017-07-05;1,627.21
2017-07-04;1,621.67
2017-07-03;1,627.41
2017-06-30;1,602.53
2017-06-29;1,613.22
2017-06-28;1,630.98
2017-06-27;1,628.54
2017-06-26;1,643.52
2017-06-22;1,645.36
2017-06-21;1,641.71
2017-06-20;1,647.67
2017-06-19;1,653.40
2017-06-16;1,635.93
2017-06-15;1,624.97
2017-06-14;1,639.59
2017-06-13;1,648.61
2017-06-12;1,638.80
2017-06-09;1,654.80
2017-06-08;1,643.77
2017-06-07;1,640.54
2017-06-05;1,637.90
2017-06-02;1,646.67
2017-06-01;1,641.32
2017-05-31;1,639.11
2017-05-30;1,639.74
2017-05-29;1,631.91
2017-05-26;1,635.77
2017-05-24;1,638.89
2017-05-23;1,641.71
2017-05-22;1,629.21
2017-05-19;1,629.21
2017-05-18;1,615.27
2017-05-17;1,628.37
2017-05-16;1,653.06
2017-05-15;1,649.84
2017-05-12;1,646.45
2017-05-11;1,642.02
2017-05-10;1,649.65
2017-05-09;1,653.11
2017-05-08;1,639.49
2017-05-05;1,642.04
2017-05-04;1,638.33
2017-05-03;1,633.99
2017-05-02;1,636.51
2017-04-28;1,626.99
2017-04-27;1,616.58
2017-04-26;1,620.28
2017-04-25;1,617.05
2017-04-24;1,609.27
2017-04-21;1,573.25
2017-04-20;1,568.74
2017-04-19;1,565.73
2017-04-18;1,557.21
